timestamp_ms,latitude,longitude,altitude_m,fix_quality,satellites,hdop,speed_kn,heading_deg
1794732,41.4906137,-91.7033678,206.9885,1,09,1.5,0.11777,2063
1794788,41.4906137,-91.7033678,206.9885,1,09,1.5,0.11777,2063
1794870,41.4906138,-91.7033678,206.9817,1,09,1.5,0.11777,2063
1795015,41.4906137,-91.7033679,206.9731,1,09,1.5,0.04116,2063
1795163,41.4906137,-91.7033679,206.9731,1,09,1.5,0.04116,2063
1795402,41.4906137,-91.7033678,207.0153,1,08,1.5,0.04116,2063
1795448,41.4906137,-91.7033678,207.0153,1,08,1.5,0.04116,2063
1795669,41.4906135,-91.7033675,207.1167,1,08,1.5,0.03709,2063
1795813,41.4906135,-91.7033675,207.1167,1,08,1.5,0.03709,2063
1795980,41.4906135,-91.7033675,207.0972,1,08,1.5,0.03371,2063
1796074,41.4906135,-91.7033674,207.1146,1,08,1.5,0.06074,2063
1796195,41.4906135,-91.7033674,207.1146,1,08,1.5,0.06074,2063
1796451,41.4906129,-91.7033658,207.2516,1,08,1.5,0.06074,2063
1796533,41.4906129,-91.7033658,207.2516,1,08,1.5,0.06074,2063
1796792,41.4906129,-91.7033658,207.2415,1,08,1.5,0.08160,2063
1796939,41.4906129,-91.7033658,207.2415,1,08,1.5,0.08160,2063
1797389,41.4906135,-91.7033644,207.2283,1,08,1.5,0.03376,2063
1797666,41.4906137,-91.7033643,207.2518,1,08,1.5,0.04978,2063
1797845,41.4906137,-91.7033643,207.2518,1,08,1.5,0.04978,2063
1797933,41.4906136,-91.7033644,207.2643,1,08,1.5,0.04978,2063
1798173,41.4906135,-91.7033643,207.2641,1,08,1.5,0.08891,2063
1798284,41.4906135,-91.7033643,207.2641,1,08,1.5,0.08891,2063
1798562,41.4906141,-91.7033628,207.2201,1,08,1.5,0.25573,2063
1798668,41.4906141,-91.7033627,207.2380,1,08,1.5,0.36185,2063
1798837,41.4906141,-91.7033627,207.2380,1,08,1.5,0.36185,2063
1798973,41.4906142,-91.7033628,207.2379,1,08,1.5,0.30141,2063
1799230,41.4906142,-91.7033628,207.2292,1,08,1.5,0.31476,2063
1799357,41.4906142,-91.7033628,207.2292,1,08,1.5,0.31476,2063
1799560,41.4906154,-91.7033622,207.1387,1,08,1.5,0.29436,2063
1799645,41.4906153,-91.7033622,207.1384,1,08,1.5,0.3357ST,2063
1799873,41.4906152,-91.7033622,207.1405,1,08,1.5,0.21921,2063
1800026,41.4906152,-91.7033622,207.1405,1,08,1.5,0.21921,2063
1800465,41.4906166,-91.7033622,206.9459,1,08,1.5,0.21171,2063
1800721,41.4906166,-91.7033622,206.9459,1,08,1.5,0.21171,2063
1800984,41.4906166,-91.7033620,206.9646,1,08,1.5,0.07956,2063
1801070,41.4906166,-91.7033622,206.9472,1,08,1.5,0.16467,2063
1801189,41.4906166,-91.7033622,206.9472,1,08,1.5,0.16467,2063
1801446,41.4906165,-91.7033620,206.8245,1,08,1.5,0.16467,2063
1801529,41.4906165,-91.7033620,206.8245,1,08,1.5,0.16467,2063
1801848,41.4906166,-91.7033619,206.8403,1,08,1.5,0.12288,2063
1801933,41.4906166,-91.7033619,206.8403,1,08,1.5,0.12288,2063
1802084,41.4906166,-91.7033620,206.8453,1,08,1.5,0.18878,2062
1802219,41.4906166,-91.7033620,206.8453,1,08,1.5,0.18878,2062
1802579,41.4906163,-91.7033623,206.7778,1,09,1.5,0.18878,2062
1802652,41.4906163,-91.7033623,206.7989,1,08,1.5,0.10852,2062
1802780,41.4906163,-91.7033624,206.7915,1,08,1.5,0.16060,2062
1803013,41.4906163,-91.7033624,206.7915,1,08,1.5,0.16060,2062
1803476,41.4906161,-91.7033619,206.7633,1,09,1.5,0.04220,2062
1803636,41.4906161,-91.7033619,206.7633,1,09,1.5,0.04220,2062
1803912,41.4906161,-91.7033619,206.7336,1,08,1.5,0.05470,2062
1804209,41.4906161,-91.7033620,206.7411,1,08,1.5,0.06607,2062
1804373,41.4906161,-91.7033620,206.7411,1,08,1.5,0.06607,2062
1804454,41.4906161,-91.7033620,206.7411,1,08,1.5,0.06607,2062
1804656,41.4906162,-91.7033620,206.7114,1,08,1.5,0.06607,2062
1804831,41.4906162,-91.7033620,206.7114,1,08,1.5,0.06607,2062
1804946,41.4906162,-91.7033620,206.7114,1,08,1.5,0.06607,2062
1805025,41.4906164,-91.7033620,206.7052,1,08,1.5,0.14069,2062
1805269,41.4906165,-91.7033623,206.7426,1,08,1.5,0.13371,2062
1805427,41.4906165,-91.7033623,206.7426,1,08,1.5,0.13371,2062
1805574,41.4906163,-91.7033622,206.7276,1,08,1.5,0.10534,2062
1805674,41.4906164,-91.7033622,206.7233,1,08,1.5,0.07688,2062
1805837,41.4906164,-91.7033622,206.7233,1,08,1.5,0.07688,2062
1805991,41.4906164,-91.7033622,206.7356,1,08,1.5,0.05729,2062
1806200,41.4906164,-91.7033623,206.7082,1,08,1.5,0.04013,2062
1806382,41.4906164,-91.7033623,206.7082,1,08,1.5,0.04013,2062
1806713,41.4906166,-91.7033623,206.7591,1,09,1.5,0.04013,2062
1807066,41.4906166,-91.7033623,206.7373,1,09,1.5,0.08134,2062
1807176,41.4906166,-91.7033623,206.7373,1,09,1.5,0.08134,2062
1807372,41.4906170,-91.7033624,206.7193,1,09,1.5,0.08134,2062
1807443,41.4906170,-91.7033624,206.7193,1,09,1.5,0.08134,2062
1807807,41.4906170,-91.7033623,206.7148,1,09,1.5,0.04472,2062
1807906,41.4906170,-91.7033623,206.7148,1,09,1.5,0.04472,2062
1808089,41.4906170,-91.7033624,206.7040,1,08,1.5,0.09124,2062
1808216,41.4906170,-91.7033624,206.7040,1,08,1.5,0.09124,2062
1808453,41.4906171,-91.7033627,206.7144277,1,10,1.3,0.09124,2062
1808657,41.4906172,-91.7033627,206.7169,1,10,1.3,0.09124,2063
1808951,41.4906172,-91.7033627,206.6895,1,10,1.3,0.09124,2063
1809076,41.4906172,-91.7033627,206.6895,1,10,1.3,0.09124,2063
1809236,41.4906172,-91.7033627,206.7103,1,10,1.3,0.06074,2063
1809366,41.4906172,-91.7033627,206.7103,1,10,1.3,0.06996,2063
1809492,41.4906177,-91.7033628,206.7049,1,10,1.3,0.10514,2063
1809759,41.4906177,-91.7033628,206.7049,1,10,1.3,0.10514,2063
1810064,41.4906176,-91.7033628,206.7299,1,10,1.3,0.11813,2062
1810179,41.4906176,-91.7033628,206.7299,1,10,1.3,0.11813,2062
1810267,41.4906178,-91.7033629,206.7018,1,10,1.3,0.11813,2062
1810408,41.4906178,-91.7033629,206.7018,1,10,1.3,0.11813,2062
1810568,41.4906178,-91.7033627,206.6848,1,10,1.3,0.03452,2063
1810670,41.4906178,-91.7033628,206.7152,1,10,1.3,0.03789,2063
1810820,41.4906178,-91.7033628,206.7152,1,10,1.3,0.03789,2063
